deg     	Ea          Ea0    	deltaA    deltaAproc
       0    8.6600	         0   -8.6600  -96.2222
 45.0000    8.8000	    6.3640   -2.4360  -27.0671
 90.0000    8.9300	    9.0000    0.0700    0.7778
135.0000    9.0000	    6.3640   -2.6360  -29.2893
180.0000    8.8800	    0.0000   -8.8800  -98.6667
225.0000    8.7200	   -6.3640  -15.0840 -167.5996
270.0000    8.7900	   -9.0000  -17.7900 -197.6667
315.0000    8.6400	   -6.3640  -15.0040 -166.7107
